timestamp_c,timestamp_p,frame.number,frame.len,frame.protocols,wlan.duration,wlan.ra,wlan.ta,wlan.da,wlan.sa,wlan.bssid,wlan.frag,wlan.seq,llc.type,ip.hdr_len,ip.len,ip.id,ip.flags,ip.ttl,ip.proto,ip.src,ip.dst,tcp.srcport,tcp.dstport,tcp.seq_raw,tcp.ack_raw,tcp.hdr_len,tcp.flags,tcp.window_size,tcp.options,udp.srcport,udp.length,data.len,wlan.fc.type,wlan.fc.subtype,wlan.flags,wlan.fcs,wlan.fcs.status,wlan.wep.key,time_since_last_packet,mid,x,y,z,pitch,roll,yaw,vgx,vgy,vgz,tof,h,battery,barometer,agx,agy,agz,class
28122.89474,28123.02875,261.0,98.0,0.0,320.0,3.0,1.0,3.0,1.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.002691,0,0,0,0,0,0,0,0,0,0,7,80,65,19309.0,0,0,0,benign
28125.6335,28125.6552,292.0,26.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.008588,0,0,0,0,-1,0,0,0,0,0,9,80,65,19306.0,0,0,0,benign
28129.34771,28129.35926,335.0,230.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,161.0,2048.0,20.0,196.0,158.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,176.0,168.0,2.0,8.0,0.0,0.0,0.0,0.0,0.027848,0,1,0,0,-1,-2,0,0,0,0,13,70,65,19305.0,0,0,0,benign
28132.59659,28132.51575,359.0,26.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.337729,0,3,0,0,-8,0,0,0,0,0,16,80,65,19310.0,0,0,0,benign
28133.01929,28133.03198,379.0,75.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,205.0,2048.0,20.0,41.0,201.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,21.0,13.0,2.0,8.0,0.0,0.0,0.0,0.0,0.01296,0,2,0,0,0,0,0,0,0,0,16,80,65,19311.0,0,0,0,benign
28133.58487,28133.56432,383.0,230.0,3.0,320.0,0.0,1.0,0.0,1.0,0.0,0.0,211.0,2048.0,20.0,196.0,207.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,176.0,168.0,2.0,8.0,0.0,0.0,0.0,0.0,0.51432,0,2,0,0,-1,0,0,0,0,0,17,80,65,19316.0,0,0,0,benign
28133.5873,28134.07471,384.0,230.0,3.0,320.0,0.0,1.0,0.0,1.0,0.0,0.0,211.0,2048.0,20.0,196.0,207.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,176.0,168.0,2.0,8.0,0.0,0.0,0.0,0.0,0.002425,0,2,0,0,-1,0,0,0,0,0,18,80,65,19305.0,0,0,0,benign
28136.18054,28136.17475,401.0,26.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,2.593243,0,1,0,0,-1,1,0,0,0,0,20,80,65,19319.0,0,0,0,benign
28139.85424,28139.8504,469.0,233.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,283.0,2048.0,20.0,199.0,279.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,179.0,171.0,2.0,8.0,0.0,0.0,0.0,0.0,0.034173,0,-2,-2,0,-2,0,0,0,0,0,23,70,65,19317.0,0,0,0,benign
28143.55561,28143.5382,508.0,26.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.079457,0,2,0,0,-1,-1,0,0,0,0,27,70,65,19319.0,0,0,0,benign
28144.08615,28144.07224,522.0,98.0,0.0,320.0,3.0,1.0,3.0,1.0,0.0,0.0,425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.303911,0,2,0,0,-1,-1,0,0,0,0,28,80,65,19321.0,0,0,0,benign
28144.18146,28144.59947,524.0,98.0,0.0,320.0,3.0,1.0,3.0,1.0,0.0,0.0,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.08854,0,2,0,0,-1,-1,0,0,0,0,28,80,65,19317.0,0,0,0,benign
28147.2397,28147.23613,563.0,26.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.040777,0,1,0,0,0,0,0,0,0,0,31,80,65,19327.0,0,0,0,benign
28150.46389,28150.41521,597.0,86.0,2.0,44.0,1.0,0.0,1.0,0.0,0.0,0.0,192.0,2048.0,20.0,52.0,39388.0,64.0,128.0,6.0,2.0,4.0,54190.0,53.0,2220003350.0,0.0,32.0,2.0,64240.0,1.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,3.121858,0,0,0,0,-1,-1,0,0,0,0,34,70,65,19319.0,0,0,0,benign
28150.92609,28150.94367,631.0,26.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.003963,0,4,0,0,0,0,0,0,0,0,34,70,65,19320.0,0,0,0,benign
28154.13439,28154.16405,652.0,231.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,454.0,2048.0,20.0,197.0,446.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,177.0,169.0,2.0,8.0,0.0,0.0,0.0,0.0,0.034043,0,0,0,0,1,0,0,0,0,0,38,70,65,19326.0,0,0,0,benign
28157.80606,28157.82724,736.0,229.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,498.0,2048.0,20.0,195.0,489.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,175.0,167.0,2.0,8.0,0.0,0.0,0.0,0.0,0.019126,0,0,0,0,0,-1,55,0,0,0,41,70,65,19324.0,0,0,0,benign
28161.53011,28161.52868,802.0,233.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,542.0,2048.0,20.0,199.0,533.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,179.0,171.0,2.0,8.0,0.0,0.0,0.0,0.0,0.056927,0,0,0,0,0,0,178,0,0,0,45,70,65,19333.0,0,0,0,benign
28164.74212,28164.69604,835.0,231.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,579.0,2048.0,20.0,197.0,570.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,177.0,169.0,2.0,8.0,0.0,0.0,0.0,0.0,3.110638,0,0,0,0,0,0,178,0,0,0,48,70,65,19327.0,0,0,0,benign
28168.41393,28168.39709,886.0,232.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,624.0,2048.0,20.0,198.0,614.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,178.0,170.0,2.0,8.0,0.0,0.0,0.0,0.0,0.102152,0,-2,0,0,-1,0,178,0,0,0,52,80,65,19322.0,0,0,0,benign
28172.12276,28172.12401,939.0,26.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.056085,0,0,0,0,0,0,178,0,0,0,56,70,64,19324.0,0,0,0,benign
28175.50169,28175.29999,975.0,26.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,3.161174,0,-1,0,0,0,0,178,0,0,0,59,70,64,19327.0,0,0,0,benign
28175.85964,28175.81392,987.0,234.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,710.0,2048.0,20.0,200.0,700.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,180.0,172.0,2.0,8.0,0.0,0.0,0.0,0.0,0.102,0,0,1,0,0,2,178,0,0,0,59,70,64,19321.0,0,0,0,benign
28179.07217,28178.96391,1004.0,231.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,750.0,2048.0,20.0,197.0,739.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,177.0,169.0,2.0,8.0,0.0,0.0,0.0,0.0,3.160876,0,0,0,0,0,0,-146,0,0,0,62,80,63,19321.0,0,0,0,benign
28179.49908,28179.49708,1041.0,26.0,0.0,60.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,0.0,0.027044,0,0,0,0,0,0,-115,0,0,0,63,80,63,19333.0,0,0,0,benign
28182.65128,28182.65245,1059.0,66.0,3.0,44.0,1.0,0.0,1.0,0.0,0.0,0.0,296.0,2048.0,20.0,32.0,29090.0,0.0,128.0,17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,12.0,4.0,2.0,8.0,0.0,0.0,0.0,0.0,0.00065,0,0,0,0,0,0,-3,0,0,0,66,80,62,19331.0,0,0,0,benign
28315.84294,28314.65562,259.0,228.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,154.0,2048.0,20.0,194.0,152.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,174.0,166.0,2.0,8.0,0.0,0.0,0.0,0.0,3.048202,0,0,0,0,0,0,0,0,0,0,11,70,52,19341.0,0,0,0,benign
28315.84294,28315.18418,259.0,228.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,154.0,2048.0,20.0,194.0,152.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,174.0,166.0,2.0,8.0,0.0,0.0,0.0,0.0,3.048202,0,0,0,0,0,0,0,0,0,0,12,70,52,19341.0,0,0,0,benign
28315.84294,28315.71427,259.0,228.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,154.0,2048.0,20.0,194.0,152.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,174.0,166.0,2.0,8.0,0.0,0.0,0.0,0.0,3.048202,0,0,0,0,0,0,0,0,0,0,12,70,52,19346.0,0,0,0,benign
28315.99562,28316.23128,271.0,227.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,156.0,2048.0,20.0,193.0,154.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,173.0,165.0,2.0,8.0,0.0,0.0,0.0,0.0,0.043759,0,0,0,0,0,0,0,0,0,0,13,70,52,19347.0,0,0,0,benign
28315.99562,28316.76236,271.0,227.0,3.0,44.0,0.0,1.0,0.0,1.0,0.0,0.0,156.0,2048.0,20.0,193.0,154.0,0.0,255.0,17.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8889.0,173.0,165.0,2.0,8.0,0.0,0.0,0.0,0.0,0.043759,0,0,0,0,0,0,0,0,0,0,13,70,52,19346.0,0,0,0,benign
